mse	rmse	mae	pcc	scc
1	1.6734326	1.2936122	0.9640655876410322	0.8919811245070599	0.8600019606358934
2	1.4944946	1.2224952	0.9013331165949608	0.9005020370507862	0.8683597321716677
3	1.398662	1.1826504	0.8734111973222627	0.9054117296958115	0.8729817554053461
4	1.4215527	1.1922889	0.8808209295420468	0.9067625970964187	0.8748516960802148
5	1.3589281	1.1657307	0.8576317818402464	0.9092875383624087	0.8772939596618531
6	1.3378515	1.1566553	0.8513417745160187	0.9114028901885884	0.8810429184173101
7	1.3027025	1.1413599	0.8403607773195156	0.9147087611934624	0.884545731320485
8	1.2362561	1.1118705	0.82913591684687	0.9174983537635036	0.8868516892571784
9	1.1932279	1.0923498	0.8119614607364835	0.9209163588576762	0.890880782037745
10	1.165218	1.0794526	0.8012637360172559	0.9234396933627477	0.8935288522526244
11	1.1630427	1.0784446	0.808862350536382	0.9242621587669316	0.8946756152920708
12	1.0937313	1.0458161	0.7797933219681712	0.9272714860274814	0.898513265146274
13	1.1061925	1.0517569	0.7758457710280796	0.9281532319417527	0.8998300984910864
14	1.1138387	1.0553856	0.7771897717487833	0.9288134501369599	0.9008178908706949
15	1.1023958	1.0499504	0.7772311378090817	0.9265665906993165	0.8981907147750735
16	1.0632386	1.0311346	0.7633131531628289	0.9293592287666109	0.900333552142126
17	1.0349123	1.0173064	0.7528385152891227	0.9316664966597543	0.902526432049878
18	1.0363582	1.0180168	0.7554964621441838	0.9310741823295166	0.9019327572771135
19	1.0140076	1.0069795	0.7468946739683093	0.9330351673628162	0.9045420711897081
20	1.0709282	1.0348566	0.7651013500642044	0.9326876789283264	0.9041496653859694
21	0.9884286	0.9941975	0.735553256828682	0.934517193984732	0.9074656192074595
22	0.9547999	0.97713864	0.7269990270261972	0.9365772310580195	0.9105767310670787
23	0.9889469	0.9944581	0.7321887815129448	0.9350338272170721	0.9083878988039816
24	0.9647135	0.9821983	0.7264248372197583	0.9359380827680306	0.9090334403698609
25	0.9504908	0.9749312	0.7219889953993228	0.93732879042527	0.9103968553497471
26	0.9457875	0.97251606	0.7176410208793492	0.9373679007157351	0.9106591731172853
27	0.9583144	0.97893536	0.7220887600067839	0.9366250786610752	0.9096689969650027
28	0.944657	0.9719347	0.7160932338267272	0.9376347478072488	0.9109860796666424
29	0.9398815	0.96947485	0.7176416070119426	0.9382571921685653	0.9117336582568556
30	0.93969655	0.9693795	0.7121735257856404	0.9382779175961914	0.9099598449908298
